CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AGN,LIBRE,PATRIA-UNIDOS,MTS,XS-CH,FRI,NGP,A-UPP
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003841,10,50,14,43,6,11,7,,9
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003851,11,50,18,53,4,14,10,,8
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003861,12,45,15,52,9,5,4,,10
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003871,13,59,14,59,4,13,10,,6
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003881,14,45,18,38,5,24,8,,10
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003891,15,48,11,51,9,14,9,,9
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003901,16,57,14,47,2,13,12,,9
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003911,17,48,14,59,1,22,10,,5
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003921,18,44,25,48,10,15,8,,8
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003931,19,44,15,60,9,17,7,,11
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003941,20,40,18,55,5,20,9,,10
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003951,21,55,17,43,5,6,7,,15
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003961,22,29,9,36,1,7,2,,4
1,Oropeza,1,Sucre,2794,Sucre,124,Kinder Echeverria,1001141,1,54,16,51,4,20,4,,8
1,Oropeza,1,Sucre,2794,Sucre,124,Kinder Echeverria,1001151,2,57,23,46,1,20,3,,9
1,Oropeza,1,Sucre,2794,Sucre,124,Kinder Echeverria,1001161,3,58,31,53,2,17,3,,7
1,Oropeza,1,Sucre,2794,Sucre,124,Kinder Echeverria,1001171,4,61,22,50,2,16,3,,8
1,Oropeza,1,Sucre,2794,Sucre,124,Kinder Echeverria,1001181,5,26,12,18,1,7,3,,2
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000701,1,65,38,44,2,17,2,,6
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000711,2,52,37,39,4,17,7,,5
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000721,3,63,23,39,5,20,6,,6
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000731,4,70,31,38,4,15,8,,8
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000741,5,62,38,35,0,13,8,,6
